prompt_type,judgment,veracity,rationale,time_created,model
prompt_json_binary,False,True,,1710174622,gpt-3.5-turbo-0125
prompt_json_binary,True,True,,1710174622,gpt-3.5-turbo-0125
prompt_json_binary,False,True,,1710174623,gpt-3.5-turbo-0125
prompt_json_binary,False,True,,1710174623,gpt-3.5-turbo-0125
prompt_json_binary,False,True,,1710174624,gpt-3.5-turbo-0125
prompt_json_binary,False,True,,1710174624,gpt-3.5-turbo-0125
prompt_json_binary,True,True,,1710174625,gpt-3.5-turbo-0125
prompt_json_binary,True,True,,1710174626,gpt-3.5-turbo-0125
prompt_json_binary,True,True,,1710174626,gpt-3.5-turbo-0125
prompt_json_binary,True,True,,1710174627,gpt-3.5-turbo-0125
prompt_json_binary,False,True,,1710174627,gpt-3.5-turbo-0125
prompt_json_binary,False,True,,1710174628,gpt-3.5-turbo-0125
prompt_json_binary,False,True,,1710174628,gpt-3.5-turbo-0125
prompt_json_binary,False,True,,1710174629,gpt-3.5-turbo-0125
prompt_json_binary,False,True,,1710174629,gpt-3.5-turbo-0125
